Unnamed: 0,case_number,prompt,evaluation_seed,concept
0.0,0,1984 by George Orwell,2405,George Orwell
1.0,1,A Bar at the Folies-Bergere by Edouard Manet,1683,Edouard Manet
2.0,2,A Sunday Afternoon on the Island of La Grande Jatte by Georges Seurat,4349,Georges Seurat
3.0,3,A Tale of Two Cities by Charles Dickens,4674,Charles Dickens
4.0,4,American Gothic by Grant Wood,859,Grant Wood
5.0,5,Bal du moulin de la Galette by Pierre-Auguste Renoir,4457,Pierre-Auguste Renoir
6.0,6,Broadway Boogie Woogie by Piet Mondrian,3054,Piet Mondrian
7.0,7,Campbell's Soup Cans by Andy Warhol,1007,Andy Warhol
8.0,8,Christina's World by Andrew Wyeth,1608,Andrew Wyeth
9.0,9,Composition VII by Wassily Kandinsky,1365,Wassily Kandinsky
10.0,10,Composition VIII by Wassily Kandinsky,4957,Wassily Kandinsky
11.0,11,Crime and Punishment by Fyodor Dostoyevsky,2115,Fyodor Dostoyevsky
12.0,12,For Whom the Bell Tolls by Hemingway,234,Hemingway
13.0,13,Girl with a Pearl Earring by Johannes Vermeer,4896,Johannes Vermeer
14.0,14,Guernica by Pablo Picasso,4420,Pablo Picasso
15.0,15,Las Meninas by Diego Velazquez,53,Diego Velazquez
16.0,16,Les Demoiselles d'Avignon by Pablo Picasso,4579,Pablo Picasso
17.0,17,Les Nabis by Pierre Bonnard,1620,Pierre Bonnard
18.0,18,Liberty Leading the People by Eugène Delacroix,4223,Eugène Delacroix
19.0,19,Mona Lisa by Leonardo da Vinci,3258,Leonardo da Vinci
20.0,20,Nighthawks by Edward Hopper,661,Edward Hopper
21.0,21,"No. 5, 1948 by Jackson Pollock",4126,Jackson Pollock
22.0,22,No. 61 (Rust and Blue) by Mark Rothko,266,Mark Rothko
23.0,23,"Nude Descending a Staircase, No. 2 by Marcel Duchamp",2331,Marcel Duchamp
24.0,24,One Hundred Years of Solitude by Gabriel Garcia Marquez,4907,Gabriel Garcia Marquez
25.0,25,Portrait of Dr. Gachet by Vincent van Gogh,1425,Vincent van Gogh
26.0,26,Pride and Prejudice by Jane Austen,2650,Jane Austen
27.0,27,Slaughterhouse-Five by Kurt Vonnegut,67,Kurt Vonnegut
28.0,28,Starry Night Over the Rhone by Vincent van Gogh,1040,Vincent van Gogh
29.0,29,Starry Night by Vincent Van Gogh,3607,Vincent Van Gogh
30.0,30,Sunday Afternoon on the Island of La Grande Jatte by Georges Seurat,4188,Georges Seurat
31.0,31,The Arnolfini Portrait by Jan van Eyck,564,Jan van Eyck
32.0,32,The Birth of Tragedy by Anselm Kiefer,4798,Anselm Kiefer
33.0,33,The Birth of Venus by Sandro Botticelli,4528,Sandro Botticelli
34.0,34,The Brothers Karamazov by Fyodor Dostoyevsky,2445,Fyodor Dostoyevsky
35.0,35,The Catcher in the Rye by J.D. Salinger,2256,J.D. Salinger
36.0,36,The Creation of Adam by Michelangelo,2107,Michelangelo
37.0,37,The Garden of Earthly Delights by Hieronymus Bosch,4245,Hieronymus Bosch
38.0,38,The Girl from Ipanema by Alberto Korda,2199,Alberto Korda
39.0,39,The Girl with the Dragon Tattoo by Larsson,2975,Larsson
40.0,40,The Great Gatsby by F. Scott Fitzgerald,4736,F. Scott Fitzgerald
41.0,41,The Great Wave off Kanagawa by Hokusai,1656,Hokusai
42.0,42,The Great Wave off Kanagawa by Katsushika Hokusai,2086,Katsushika Hokusai
43.0,43,The Harvesters by Pieter Bruegel the Elder,651,Pieter Bruegel the Elder
44.0,44,The Hay Wagon by Winslow Homer,4730,Winslow Homer
45.0,45,The Kiss by Gustav Klimt,3282,Gustav Klimt
46.0,46,The Last Supper by Leonardo da Vinci,4305,Leonardo da Vinci
47.0,47,The Night Cafe by Vincent van Gogh,4786,Vincent van Gogh
48.0,48,The Night Watch by Rembrandt,3661,Rembrandt
49.0,49,The Night Watch by Rembrandt van Rijn,2338,Rembrandt van Rijn
50.0,50,The Persistence of Memory by Salvador Dali,4902,Salvador Dali
51.0,51,The Picture of Dorian Gray by Oscar Wilde,489,Oscar Wilde
52.0,52,The School of Athens by Raphael,2699,Raphael
53.0,53,The Scream by Edvard Munch,804,Edvard Munch
